I,R,vs,delta_rank_ic,n_common,n_dates
5,5,share_expand_minus_raw,0.00027279314636321816,425670,487
5,5,share_clip_minus_raw,0.0006280433846376777,425670,487
5,5,dollar_expand_minus_raw,-0.0001189925959689234,425670,487
5,5,dollar_clip_minus_raw,0.0006853730868648641,425670,487
20,20,share_expand_minus_raw,-0.006468184625749593,270788,263
20,20,share_clip_minus_raw,-0.009039556310766392,270788,263
20,20,dollar_expand_minus_raw,-0.006424105077307549,270788,263
20,20,dollar_clip_minus_raw,0.00025809306222170433,270788,263
60,60,share_expand_minus_raw,0.0008676454963885855,89876,87
60,60,share_clip_minus_raw,-0.0026328727076982248,89876,87
60,60,dollar_expand_minus_raw,0.0006860090964944947,89876,87
60,60,dollar_clip_minus_raw,-0.0021736360853342996,89876,87
