I,R,arm,label,status,rank_ic,n,n_dates
5,5,raw,raw,complete,0.008332873885325612,425670,487
5,5,vwpq,share_expand,complete,0.006253269501130181,1158046,1122
5,5,vwpq_clip,share_clip,complete,0.006454263489497071,1158046,1122
5,5,vwpq_d,dollar_expand,complete,0.006225148272666067,1158046,1122
5,5,vwpq_d_clip,dollar_clip,complete,0.006382593143123976,1158046,1122
20,20,raw,raw,complete,0.0017447572236309913,270788,263
20,20,vwpq,share_expand,complete,-0.004723427402118599,270788,263
20,20,vwpq_clip,share_clip,complete,-0.0072947990871354,270788,263
20,20,vwpq_d,dollar_expand,complete,-0.004679347853676554,270788,263
20,20,vwpq_d_clip,dollar_clip,complete,0.002002850285852695,270788,263
60,60,raw,raw,complete,0.018075409684942357,89876,87
60,60,vwpq,share_expand,complete,0.018943055181330937,89876,87
60,60,vwpq_clip,share_clip,complete,0.015442536977244133,89876,87
60,60,vwpq_d,dollar_expand,complete,0.018761418781436848,89876,87
60,60,vwpq_d_clip,dollar_clip,complete,0.01590177359960805,89876,87
